team1,t1pyth,team2,t2pyth
San Jos̩ State,0.312,San Diego State,0.688
New Mexico,0.03,Air Force,0.97
Nevada,0.384,Hawai'i,0.616
New Mexico,0.001,Utah State,0.999
San Jos̩ State,0.001,Utah State,0.999
San Jos̩ State,0.128,Fresno State,0.872
Nevada,0.294,UNLV,0.706
Air Force,0.224,Wyoming,0.776
Utah State,0.133,Boise State,0.867
Hawai'i,0.466,San Diego State,0.534
Air Force,0.496,Army,0.504
Arkansas State,0.803,Nevada,0.197
Duquesne,0.0,UMass,1.0
New Mexico State,0.017,BYU,0.983
Liberty,0.063,Army,0.937
UMass,0.035,Georgia Southern,0.965
McNeese,0.033,BYU,0.967
South Florida,0.991,UMass,0.009
Liberty,0.034,New Mexico State,0.966
Troy,0.098,Liberty,0.902
New Mexico State,0.005,Louisiana,0.995
Navy,0.012,Army,0.988
Colgate,0.586,Army,0.414
Lafayette,0.06,Army,0.94
New Mexico State,0.172,Texas State,0.828
BYU,0.727,UMass,0.273
Idaho State,0.561,Liberty,0.439
UMass,0.729,Connecticut,0.271
Coastal Carolina,0.541,UMass,0.459
Norfolk State,0.006,Liberty,0.994
Georgia Southern,0.949,New Mexico State,0.051
Notre Dame,0.932,Navy,0.068
New Mexico State,0.76,Liberty,0.24
Alcorn State,0.641,New Mexico State,0.359
Liberty,0.012,UMass,0.988
Houston,0.997,Army,0.003
Kennesaw State,0.47,Georgia State,0.53
Southeastern Louisiana,0.584,Louisiana Monroe,0.416
South Carolina State,0.007,Georgia Southern,0.993
Grambling,0.047,Louisiana,0.953
Southeast Missouri State,0.044,Arkansas State,0.956
Florida A&M,0.004,Troy,0.996
Coastal Carolina,0.95,Campbell,0.05
Georgia State,0.001,Memphis,0.999
Texas Southern,0.105,Texas State,0.895
Arkansas State,0.855,Tulsa,0.145
Texas State,0.178,South Alabama,0.822
Coastal Carolina,0.303,Louisiana,0.697
Gardner-Webb,0.0,Appalachian State,1.0
Troy,0.756,Louisiana Monroe,0.244
South Alabama,0.059,Memphis,0.941
Louisiana Monroe,0.006,Georgia State,0.994
Coastal Carolina,0.011,Troy,0.989
South Alabama,0.048,Appalachian State,0.952
Arkansas State,0.139,Georgia Southern,0.861
Georgia State,0.013,Troy,0.987
Louisiana,0.709,Texas State,0.291
Georgia Southern,0.471,Texas State,0.529
Troy,0.927,South Alabama,0.073
Louisiana Monroe,0.95,Coastal Carolina,0.05
Georgia State,0.015,Arkansas State,0.985
Appalachian State,0.004,Georgia Southern,0.996
Louisiana,0.296,Appalachian State,0.704
Louisiana,0.098,Appalachian State,0.902
Coastal Carolina,0.015,South Alabama,0.985
Arkansas State,0.246,Louisiana,0.754
Texas State,0.489,Louisiana Monroe,0.511
Georgia Southern,0.968,Georgia State,0.032
Coastal Carolina,0.172,Georgia State,0.828
Texas State,0.961,Georgia State,0.039
Troy,0.703,Georgia Southern,0.297
South Alabama,0.024,Arkansas State,0.976
Georgia Southern,0.005,Louisiana Monroe,0.995
Troy,0.026,Appalachian State,0.974
Georgia State,0.012,Appalachian State,0.988
Louisiana,0.844,Louisiana Monroe,0.156
Louisiana,0.01,Troy,0.99
Louisiana Monroe,0.017,Arkansas State,0.983
Appalachian State,0.997,Texas State,0.003
Texas State,0.037,Troy,0.963
Arkansas State,0.816,Texas State,0.184
Louisiana Monroe,0.974,South Alabama,0.026
Georgia State,0.022,Louisiana,0.978
Georgia Southern,0.984,Coastal Carolina,0.016
Arkansas State,0.979,Coastal Carolina,0.021
South Alabama,0.063,Louisiana,0.937
Appalachian State,0.857,Coastal Carolina,0.143
Tulane,0.173,Louisiana,0.827
UCF,0.996,Connecticut,0.004
Villanova,0.884,Temple,0.116
Cincinnati,0.041,UCF,0.959
Temple,0.88,Houston,0.12
Elon,0.006,South Florida,0.994
Houston,0.072,SMU,0.928
Mercer,0.0,Memphis,1.0
Central Arkansas,0.16,Tulsa,0.84
North Carolina A&T,0.832,East Carolina,0.168
Memphis,0.554,Navy,0.446
South Carolina State,0.017,UCF,0.983
Nicholls,0.064,Tulane,0.936
Alabama A&M,0.0,Cincinnati,1.0
Tulsa,0.057,Temple,0.943
Navy,0.179,SMU,0.821
East Carolina,0.418,South Florida,0.582
Texas Southern,0.015,Houston,0.985
Rhode Island,0.82,Connecticut,0.18
Lehigh,0.001,Navy,0.999
Memphis,0.09,Tulane,0.91
Cincinnati,0.993,Connecticut,0.007
Houston Baptist,0.003,SMU,0.997
Tulsa,0.124,Houston,0.876
East Carolina,0.035,Temple,0.965
Tulane,0.207,Cincinnati,0.793
Connecticut,0.0,Memphis,1.0
SMU,0.029,UCF,0.971
South Florida,0.753,Tulsa,0.247
Temple,0.723,Navy,0.277
UCF,0.718,Memphis,0.282
Houston,0.974,East Carolina,0.026
Navy,0.238,Tulane,0.762
Tulane,0.018,Houston,0.982
Memphis,0.873,SMU,0.127
Cincinnati,0.347,Temple,0.653
Tulane,0.637,Tulsa,0.363
Temple,0.161,UCF,0.839
Navy,0.149,UCF,0.851
Houston,0.735,Navy,0.265
South Florida,0.029,Temple,0.971
Houston,0.103,Memphis,0.897
Tulsa,0.027,Memphis,0.973
SMU,0.782,Tulane,0.218
East Carolina,0.0,Cincinnati,1.0
Memphis,0.897,East Carolina,0.103
Memphis,0.631,UCF,0.369
SMU,0.876,Connecticut,0.124
UCF,0.961,South Florida,0.039
Connecticut,0.154,South Florida,0.846
UCF,0.966,East Carolina,0.034
Navy,0.003,Cincinnati,0.997
Temple,1.0,Connecticut,0.0
South Florida,0.051,Houston,0.949
Cincinnati,0.059,SMU,0.941
SMU,0.2,Tulsa,0.8
Tulsa,0.127,Navy,0.873
East Carolina,0.101,Tulane,0.899
Connecticut,0.001,East Carolina,0.999
Connecticut,0.011,Tulsa,0.989
South Florida,0.537,Cincinnati,0.463
Furman,0.001,Clemson,0.999
Indiana St,0.197,Louisville,0.803
Syracuse,0.805,Wake Forest,0.195
NC State,0.892,Louisville,0.108
Iowa State,0.921,Kansas,0.079
TCU,0.923,Baylor,0.077
Wisconsin,0.09,Penn State,0.91
Arkansas State,0.021,Alabama,0.979
The Citadel,0.001,Alabama,0.999
Georgia,0.917,Kentucky,0.083
USC,0.517,Arizona,0.483
Oregon,0.015,Arizona,0.985
Rice,0.004,Southern Mississippi,0.996
Old Dominion,0.091,East Carolina,0.909
Charlotte,0.189,Florida Atlantic,0.811
Cincinnati,0.744,Miami (OH),0.256
Miami (OH),0.228,Northern Illinois,0.772
Central Michigan,0.018,Eastern Michigan,0.982
Incarnate Word,0.302,New Mexico,0.698
Colorado State,0.043,Boise State,0.957
Southern Alabama,0.003,Georgia Southern,0.997
Appalachian State,0.975,Arkansas State,0.025
Alabama State,0.056,South Alabama,0.944
Tulane,0.89,South Florida,0.11
